"Lufttemperatur","relLuftfeuchte","Stationshoehe"
10.3581554878049,82.1183943089431,296
10.0152947154472,80.2332317073171,387
10.9746997188858,80.4633273703041,232
7.19512506380807,84.7562531904033,897
10.3283282520325,80.6128048780488,418
9.60805214723926,83.0889570552147,365
10.9292428861789,80.1346544715447,227
11.3991062308478,80.0171092951992,114
11.4401930894309,78.8810975609756,119
8.58978658536585,86.4438516260163,560
5.85241361788618,85.4987296747967,1213
10.3880589430894,81.3544207317073,238
9.82145966709347,82.8955185659411,270
10.9839603457041,81.0449923741739,85
11.2736788617886,78.3582317073171,138
11.3513719512195,77.4133638211382,131
10.0453083816552,81.7090142329995,321
8.82154471544716,77.9481707317073,639
10.6050304878049,82.5444613821138,157
10.2029118773946,83.4495530012771,125
11.1943343495935,80.8272357723577,150
9.82006985491671,82.1136485760344,386
7.12728658536585,87.5213414634146,877
10.5516768292683,80.2334857723577,353
9.30536077235772,86.9822154471545,290
10.911331300813,79.0518292682927,308
9.59801829268293,83.2167174796748,465
7.56316056910569,86.7848069105691,688
10.8174796747967,82.421493902439,116
